교과목,교수,시간,장소,학점,영역
TED로만나는영어와세계문화,신광인,"목(3,4)", 13-203 ,2,제1영역:문화와예술
실학사상과현대사회,도민재,"화(5,6)", 13-203 ,2,제2영역:역사와철학
동양고전과리더십,도민재,"수(3,4)", 13-201,2,제2영역:역사와철학
비판적사고와논증,김범수,"화(1,2,3)", 13-102 ,3,제2영역:역사와철학
청년의삶과21세기민주시민,유호근,"금(1,2)", 13-303 ,2,제5영역:정치와경제
과학사의이해,김범수,"화(5,6,7)", 13-101 ,3,제4영역:과학과기술
국제개발협력의이해,백숙희,"화(5,6,7)", 09-312 ,3,제5영역:정치와경제
유도의이론및실기,박종학,"화(5,6)", 51-109 ,2,일반영역
CLAP2,이종선,"금(2,3,5,6)", 42-207 ,3,제3영역:인간과사회
자본주의와경제학,김종구,"목(8,9)", 09-312 ,2,제5영역:정치와경제
빅데이터의이해,이동혁,"금(3,4)", 42-107C,2,제6영역:SW영역
입문일본어,권영성,"수(1,2)", 13-402,2,일반영역
입문중국어,왕뢰,"수(3,4)", 09-310 ,2,일반영역
입문중국어,왕뢰,"수(8,9)", 09-307 ,2,일반영역
아카데믹영어,김미진,"수(5,6)", 09-316 ,2,일반영역
논어의지혜,도민재,"금(5,6)", 13-203 ,2,제2영역:역사와철학
인물로만나보는한국사,박성준,"월(5,6)", 13-101 ,2,제2영역:역사와철학
과학기술과인간의미래,이은경,"화(1,2)", 09-213 ,2,제4영역:과학과기술
영어회화(중급),아이린 애모스,"화(3,4)", 20-421,2,일반영역
영어독해(중급),함은경,"목(3,4)", 09-308 ,2,일반영역
문제해결을위한컴퓨팅사고,이성현,"월(8,9)", 42-104 ,2,제6영역:SW영역
입문프로그래밍언어,김시정,"목(3,4)", 42-103 ,2,제6영역:SW영역
고전한문을통한미래치유,김미선,"화(1,2)", 13-402 ,2,제2영역:역사와철학
배움의역사,최금진,"목(1,2)", 13-103 ,2,제3영역:인간과사회
예술과글쓰기,박인영,"금(3,4)", 09-411 ,2,제1영역:문화와예술
사회과학글쓰기,유호근,"목(5,6)", 20-137 ,2,제3영역:인간과사회
이공계를위한글쓰기,염효영,"목(8,9)", 09-307 ,2,제4영역:과학과기술
금융자산관리의이해,곽세영,"월(1,2,3)", 13-303 ,3,일반영역
RC재활필라테스,김민진,"월(11,12)", 08-420 ,2,일반영역
RC자기계발과리더십,최금진,"화(11,12)", 43-011A,2,일반영역
영화와사회,박인영,"목(8,9)", 13-101 ,2,제1영역:문화와예술
영화로읽는문학,함은경,"금(3,4)", 13-201 ,2,제1영역:문화와예술
현대매체철학의이해,김성일,"월(3,4)", 09-312 ,2,제3영역:인간과사회
금융과공학의만남,고석빈,"월(8,9)", 13-302 ,2,제4영역:과학과기술
인문사회학생을위한통계학,고석빈,"금(1,2)", 13-101 ,2,제4영역:과학과기술
비주얼감성코딩,김시정,"월(8,9)", 42-103 ,2,제6영역:SW영역
인공지능을위한코딩,이성현,"목(8,9)", 42-107C,2,제6영역:SW영역
"청주학Ⅱ［학이시습,인물을만나다Ⅱ］",황경수,"목(8,9)", 13-403 ,2,일반영역
글로컬비즈니스영어,김미진,"월(3,4)", 09-307 ,2,일반영역
TED ED로배우는영어토론,캐시하인즈,"수(4,5)", 20-229 ,2,일반영역
영화로이해하는중국,이시찬,"수(5,6)", 13-301 ,2,제1영역:문화와예술
비즈니스매너와글로벌에티켓,김영식,"월(3,4)", 13-301 ,2,일반영역
글로벌공동체론,심은진,"화(6,7)", 42-204 ,2,제3영역:인간과사회
인간행동심리와리더십,임정섭,"수(8,9)", 13-201 ,2,제3영역:인간과사회
판결중심의법이해하기,윤기택,"화(1,2),목(6)", 13-403 ,3,제3영역:인간과사회
우주와천문학,염태호,"화(5,6)", 13-102 ,2,제4영역:과학과기술
생활화학과문제해결,이헌,"금(3,4)", 09-307 ,2,제4영역:과학과기술
파생상품이야기,박준우,"월(5),목(8,9)", 13-302 ,3,일반영역
메타버스와혁명,정근훈,"금(6,7)", 13-102 ,2,제6영역:SW영역
블록체인과가상화폐,정근훈,"금(8,9)", 13-102 ,2,제6영역:SW영역
비즈니스머신러닝,이원준,"월(8,9)", 42-307 ,2,제6영역:SW영역
이미지메이킹과브랜딩전략,이윤정,"화(3,4)", 13-101 ,2,일반영역
러시아문학과사상,이영범,"화(5,6)", 13-402 ,2,제1영역:문화와예술
자기주도적학습을위한러닝포트폴리오,최금진,"목(5,6)", 20-325 ,2,일반영역
문자디자인(타이포그래피)의이해와소통,이종선,"수(1,2)", 13-101 ,2,제1영역:문화와예술
문명과수학,김인경,"금(3,4)", 13-202 ,2,제4영역:과학과기술
ESG경영이해,이창언,"수(5,6)", 13-401 ,2,제5영역:정치와경제
서양문학의이해,김성일,"월(8,9),목(4)", 09-312 ,3,제1영역:문화와예술
글로벌인재를위한세계사강의,이시찬,"목(8,9)", 13-201 ,2,제2영역:역사와철학
CLAP3,이종선,"수(8,9)", 42-207 ,2,제3영역:인간과사회
이문화의이해,김선영,"목(8,9)", 13-303 ,2,제1영역:문화와예술
서양신화와문명의이해,김성일,"수(3,4)", 13-301 ,2,제1영역:문화와예술
한국전통문화와예절,도민재,"월(8,9)", 13-203 ,2,제1영역:문화와예술
한국의민속과예술,소인호,"화(1,2)", 13-303 ,2,제1영역:문화와예술
행복학개론,박준우,"금(1,2)", 13-501 ,2,제3영역:인간과사회
ESG와공공담론,조한상,"월(3,4)", 13-102 ,2,제5영역:정치와경제
RC실전동영상편집,홍민희,"목(11,12)", 31-213,2,일반영역
충북특화산업의수출과세계화,이재영,"수(8,9)", 13-302,2,제5영역:정치와경제
