,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0000134,관광산업의이해,02,교양선택,이익수,관광경영학과,0,23,개설,온라인(동영상콘텐츠),미리보기,미리보기,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통,,,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,인터넷강좌,,,,제5영역:정치와경제,공통,,,,,,조기취업학생만 수강
18,0000135,현대회계의이해,01,교양선택,정훈,회계학과,100,44,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-301 첨단:목(8,9)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제5영역:정치와경제,공통,,,,,,
19,0000136,생명의신비,01,교양선택,조성규,교양학부,100,97,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-301 첨단:수(8,9)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제4영역:과학과기술,공통,,,,,,
20,0000142,건축의이해,01,교양선택,정진주,건축학과,100,99,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-201 첨단:수(1,2)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제4영역:과학과기술,공통,,,,,,
21,0000142,건축의이해,02,교양선택,정진주,건축학과,100,99,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-501 첨단:수(5,6)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제4영역:과학과기술,공통,,,,,,
22,0000151,남북한정치의이해,01,교양선택,유호근,경찰행정학과,100,99,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-303 첨단:화(6,7)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제5영역:정치와경제,공통,,,,,,
23,0000153,성의사회학,01,교양선택,이영범,교양학부,100,22,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-401 첨단:월(8,9)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제3영역:인간과사회,공통,,,,,,
24,0000155,인간생활과토지,01,교양선택,박정호,지적학과,100,83,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-202 첨단:금(1,2)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제5영역:정치와경제,공통,,,,,,
25,0000164,현대생활과패션,01,교양선택,이유진,아트앤패션디자인학과,800,788,개설,온라인(동영상콘텐츠),미리보기,미리보기,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통,,,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,인터넷강좌,,,,일반영역,공통,,,,,,출석시험: 10/21(월) 20:00~20:20
26,0000164,현대생활과패션,02,교양선택,이유진,아트앤패션디자인학과,0,9,개설,온라인(동영상콘텐츠),미리보기,미리보기,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통,,,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,인터넷강좌,,,,일반영역,공통,,,,,,조기취업학생만 수강
27,0000167,생활과공예,01,교양선택,황성실,공예디자인학과,100,100,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-103 계단강의실:화(1,2)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제1영역:문화와예술,공통,,,,,,
28,0000169,배드민턴,01,교양선택,장주선,생활체육학과,50,50,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 51-202 체육관:금(3,4)",,2,1,1,학기,,,상대평가,상대기본(4080),○,"이론+실습(실험,실습,실기)",일반과목,일반강의,,,,일반영역,공통,,,,,,
29,0000170,탁구,01,교양선택,김버들,교양학부,50,49,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 51-202 체육관:수(1,2)",,2,1,1,학기,,,상대평가,상대기본(4080),○,"이론+실습(실험,실습,실기)",일반과목,일반강의,,,,일반영역,공통,,,,,,
30,0000171,농구,01,교양선택,김헌일,생활체육학과,50,46,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 51-202 체육관:화(1,2)",,2,1,1,학기,,,상대평가,상대기본(4080),○,"이론+실습(실험,실습,실기)",일반과목,일반강의,,,,일반영역,공통,,,,,,
31,0000194,사회봉사2,01,교양선택,김현진,사회복지학과,100,99,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통, 13-303 첨단:금(3),,1,0,1,학기,,○,절대평가,,○,"실습(실험,실습,실기)",사회봉사과목,현장지도,,,,일반영역,공통,,,,,,
32,0000194,사회봉사2,02,교양선택,김헌진,사회복지학과,100,94,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통, 13-102 계단강의실:월(9),,1,0,1,학기,,○,절대평가,,○,"실습(실험,실습,실기)",사회봉사과목,현장지도,,,,일반영역,공통,,,,,,
33,0000194,사회봉사2,03,교양선택,홍석호,사회복지학과,100,98,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통, 13-303 첨단:목(3),,1,0,1,학기,,○,절대평가,,○,"실습(실험,실습,실기)",사회봉사과목,현장지도,,,,일반영역,공통,,,,,,
34,0005055,역사란무엇인가,01,교양선택,송영대,교양학부,100,52,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-203 첨단:수(1,2)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제2영역:역사와철학,공통,,,,,,
35,0005067,취업전략과사회진출,01,교양선택,김형욱,무역학과,100,66,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통, 13-203 첨단:화(3),,1,1,0,학기,,○,절대평가,,○,이론,일반과목,일반강의,,,,일반영역,공통,,,,,,(4학년대상교과목)/취업지원팀
36,0005067,취업전략과사회진출,02,교양선택,김형욱,무역학과,100,89,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통, 13-203 첨단:화(4),,1,1,0,학기,,○,절대평가,,○,이론,일반과목,일반강의,,,,일반영역,공통,,,,,,(4학년대상교과목)/취업지원팀
37,0005103,무기체계론,01,교양선택,전규호,교양학부,100,65,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-402 첨단:월(5,6)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,일반영역,공통,,,,,,
38,0005104,전쟁사,01,교양선택,손인배,교양학부,100,85,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-202 첨단:월(3,4)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제2영역:역사와철학,공통,,,,,,
39,0005104,전쟁사,02,교양선택,손인배,교양학부,100,86,개설,오프라인,미리보기,,,교양대학(강좌개설),교양학과(강좌개설),교양학과(강좌개설),공통," 13-202 첨단:월(6,7)",,2,2,0,학기,,,상대평가,상대기본(4080),○,이론,일반과목,일반강의,,,,제2영역:역사와철학,공통,,,,,,
